File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\pk_internal.h,115,58,25,0,22,1,35,204,22,127
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\platform.h,296,163,18,0,25,29,108,580,22,126
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\platform_time.h,82,30,5,0,9,4,43,209,22,126
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\ripemd160.h,139,45,16,0,20,6,74,330,22,125
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\rsa.h,653,184,49,0,44,29,425,2701,22,125
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\sha1.h,137,43,16,0,20,6,74,330,22,125
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\sha256.h,142,46,17,0,20,7,76,361,22,127
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\sha256_alt.h,115,34,12,0,17,3,64,287,22,127
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\sha512.h,142,46,17,0,20,7,76,361,22,127
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\ssl.h,2560,780,268,0,213,274,1567,10311,22,123
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\ssl_cache.h,144,49,21,0,19,12,76,395,22,125
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\ssl_ciphersuites.h,322,233,22,0,53,130,36,744,22,126
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\ssl_cookie.h,109,35,14,0,16,5,58,310,22,125
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\ssl_internal.h,501,327,145,12,73,80,101,838,22,128
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\ssl_ticket.h,136,41,19,0,17,8,78,444,22,126
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\threading.h,107,42,13,0,13,6,52,325,22,124
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\timing.h,142,44,17,0,19,3,79,405,22,128
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\version.h,112,26,5,0,13,2,73,406,26,149
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\x509.h,332,156,31,2,34,62,142,1122,22,126
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\x509_crl.h,174,54,32,0,28,12,92,598,22,126
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\x509_crt.h,655,158,82,0,62,40,435,2703,22,126
